season,position,variant,target,r2,n_train,n_test
2014,RB,base,fwd3_rank,0.194634,486,510
2014,RB,base,fwd3,0.124151,486,510
2014,RB,dc,fwd3_rank,0.200659,486,510
2014,RB,dc,fwd3,0.115832,486,510
2014,WR,base,fwd3_rank,0.327042,793,838
2014,WR,base,fwd3,0.207760,793,838
2014,WR,dc,fwd3_rank,0.316488,793,838
2014,WR,dc,fwd3,0.197367,793,838
2014,TE,base,fwd3_rank,0.302271,556,587
2014,TE,base,fwd3,0.193812,556,587
2014,TE,dc,fwd3_rank,0.277873,556,587
2014,TE,dc,fwd3,0.119709,556,587
2014,QB,base,fwd3_rank,0.360897,197,207
2014,QB,base,fwd3,0.235364,197,207
2014,QB,dc,fwd3_rank,0.371541,197,207
2014,QB,dc,fwd3,0.263829,197,207
2015,RB,base,fwd3_rank,0.258865,996,526
2015,RB,base,fwd3,0.194483,996,526
2015,RB,dc,fwd3_rank,0.249764,996,526
2015,RB,dc,fwd3,0.214819,996,526
2015,WR,base,fwd3_rank,0.319337,1631,834
2015,WR,base,fwd3,0.277284,1631,834
2015,WR,dc,fwd3_rank,0.323953,1631,834
2015,WR,dc,fwd3,0.285146,1631,834
2015,TE,base,fwd3_rank,0.312528,1143,592
2015,TE,base,fwd3,0.273691,1143,592
2015,TE,dc,fwd3_rank,0.307339,1143,592
2015,TE,dc,fwd3,0.277925,1143,592
2015,QB,base,fwd3_rank,0.320517,404,206
2015,QB,base,fwd3,0.208076,404,206
2015,QB,dc,fwd3_rank,0.335727,404,206
2015,QB,dc,fwd3,0.218640,404,206
2016,RB,base,fwd3_rank,0.285497,1522,473
2016,RB,base,fwd3,0.256839,1522,473
2016,RB,dc,fwd3_rank,0.301950,1522,473
2016,RB,dc,fwd3,0.260659,1522,473
2016,WR,base,fwd3_rank,0.334631,2465,903
2016,WR,base,fwd3,0.254045,2465,903
2016,WR,dc,fwd3_rank,0.342125,2465,903
2016,WR,dc,fwd3,0.262482,2465,903
2016,TE,base,fwd3_rank,0.341493,1735,585
2016,TE,base,fwd3,0.284820,1735,585
2016,TE,dc,fwd3_rank,0.347455,1735,585
2016,TE,dc,fwd3,0.280906,1735,585
2016,QB,base,fwd3_rank,0.416327,610,210
2016,QB,base,fwd3,0.356745,610,210
2016,QB,dc,fwd3_rank,0.436279,610,210
2016,QB,dc,fwd3,0.373053,610,210
2017,RB,base,fwd3_rank,0.306299,1995,489
2017,RB,base,fwd3,0.291376,1995,489
2017,RB,dc,fwd3_rank,0.320074,1995,489
2017,RB,dc,fwd3,0.290110,1995,489
2017,WR,base,fwd3_rank,0.276828,3368,889
2017,WR,base,fwd3,0.166750,3368,889
2017,WR,dc,fwd3_rank,0.277624,3368,889
2017,WR,dc,fwd3,0.174801,3368,889
2017,TE,base,fwd3_rank,0.296721,2320,631
2017,TE,base,fwd3,0.229387,2320,631
2017,TE,dc,fwd3_rank,0.295879,2320,631
2017,TE,dc,fwd3,0.232109,2320,631
2017,QB,base,fwd3_rank,0.414705,820,212
2017,QB,base,fwd3,0.257231,820,212
2017,QB,dc,fwd3_rank,0.403980,820,212
2017,QB,dc,fwd3,0.256107,820,212
2018,RB,base,fwd3_rank,0.361629,2484,443
2018,RB,base,fwd3,0.290966,2484,443
2018,RB,dc,fwd3_rank,0.343271,2484,443
2018,RB,dc,fwd3,0.292038,2484,443
2018,WR,base,fwd3_rank,0.327848,4257,866
2018,WR,base,fwd3,0.272299,4257,866
2018,WR,dc,fwd3_rank,0.328024,4257,866
2018,WR,dc,fwd3,0.274391,4257,866
2018,TE,base,fwd3_rank,0.174213,2951,609
2018,TE,base,fwd3,0.179519,2951,609
2018,TE,dc,fwd3_rank,0.176839,2951,609
2018,TE,dc,fwd3,0.176882,2951,609
2018,QB,base,fwd3_rank,0.379660,1032,217
2018,QB,base,fwd3,0.386128,1032,217
2018,QB,dc,fwd3_rank,0.374989,1032,217
2018,QB,dc,fwd3,0.381191,1032,217
2019,RB,base,fwd3_rank,0.354153,2927,457
2019,RB,base,fwd3,0.243804,2927,457
2019,RB,dc,fwd3_rank,0.363536,2927,457
2019,RB,dc,fwd3,0.245783,2927,457
2019,WR,base,fwd3_rank,0.258326,5123,870
2019,WR,base,fwd3,0.243521,5123,870
2019,WR,dc,fwd3_rank,0.259111,5123,870
2019,WR,dc,fwd3,0.245519,5123,870
2019,TE,base,fwd3_rank,0.246703,3560,592
2019,TE,base,fwd3,0.250558,3560,592
2019,TE,dc,fwd3_rank,0.246232,3560,592
2019,TE,dc,fwd3,0.253945,3560,592
2019,QB,base,fwd3_rank,0.455701,1249,193
2019,QB,base,fwd3,0.334853,1249,193
2019,QB,dc,fwd3_rank,0.477919,1249,193
2019,QB,dc,fwd3,0.364368,1249,193
2020,RB,base,fwd3_rank,0.248985,3384,457
2020,RB,base,fwd3,0.161361,3384,457
2020,RB,dc,fwd3_rank,0.260997,3384,457
2020,RB,dc,fwd3,0.199197,3384,457
2020,WR,base,fwd3_rank,0.325704,5993,898
2020,WR,base,fwd3,0.260611,5993,898
2020,WR,dc,fwd3_rank,0.332438,5993,898
2020,WR,dc,fwd3,0.261999,5993,898
2020,TE,base,fwd3_rank,0.341272,4152,606
2020,TE,base,fwd3,0.264210,4152,606
2020,TE,dc,fwd3_rank,0.343614,4152,606
2020,TE,dc,fwd3,0.264507,4152,606
2020,QB,base,fwd3_rank,0.352391,1442,221
2020,QB,base,fwd3,0.411094,1442,221
2020,QB,dc,fwd3_rank,0.341997,1442,221
2020,QB,dc,fwd3,0.401091,1442,221
2021,RB,base,fwd3_rank,0.239126,3841,434
2021,RB,base,fwd3,0.189891,3841,434
