season,week,position,pool_n,repl_rank,repl_fwd3,pool_mean,decision_rank_before,decision_pts,repl_pctile
2014,2,QB,17,2,21.6867,13.7943,18.6200,13.4600,0.8824
2014,2,RB,45,5,9.1500,3.2096,8.9000,2.1667,0.8889
2014,2,TE,53,2,13.4000,3.6777,15.1333,15.1333,0.9623
2014,2,WR,76,6,10.0000,3.7069,0.0000,8.5667,0.9211
2014,3,QB,22,2,19.6400,10.4417,19.6400,2.3600,0.9091
2014,3,RB,49,5,8.2000,3.1241,0.7667,7.5667,0.8980
2014,3,TE,51,2,12.0000,3.3294,1.5000,6.2000,0.9608
2014,3,WR,72,6,8.7000,3.3146,0.0000,9.8500,0.9167
2014,4,QB,16,2,18.8400,8.1862,24.7200,17.2600,0.8750
2014,4,RB,30,5,5.5333,2.9811,0.0000,8.7500,0.8333
2014,4,TE,38,2,10.9000,3.6048,8.3333,2.3667,0.9474
2014,4,WR,50,6,6.8000,2.6533,3.8667,10.4500,0.8800
2014,5,QB,16,2,17.8667,9.0040,17.8667,29.1133,0.8750
2014,5,RB,40,5,9.2333,4.0933,9.2333,7.4000,0.8750
2014,5,TE,49,2,10.7333,3.3929,2.9500,0.0000,0.9592
2014,5,WR,70,6,10.1000,3.0871,1.3000,5.1000,0.9143
2014,6,QB,14,2,20.6700,12.1264,22.2467,11.7000,0.8571
2014,6,RB,39,5,6.3667,3.3893,0.2500,2.5333,0.8718
2014,6,TE,48,2,10.2667,3.2337,7.4000,8.0333,0.9583
2014,6,WR,64,6,7.9667,2.8346,4.6500,5.4667,0.9062
2014,7,QB,17,2,16.6500,9.0331,13.2067,-1.9333,0.8824
2014,7,RB,43,5,6.7000,3.3190,15.9000,5.3000,0.8837
2014,7,TE,44,2,10.0333,2.9583,4.6000,2.1000,0.9545
2014,7,WR,69,6,8.8333,2.9623,10.4000,0.5500,0.9130
2014,8,QB,18,2,12.8400,6.0663,0.0000,11.5533,0.8889
2014,8,RB,39,5,5.9000,3.1919,4.4000,2.5667,0.8718
2014,8,TE,45,2,9.9333,3.0767,3.0667,3.4500,0.9556
2014,8,WR,68,6,8.2000,2.6373,0.8667,3.5000,0.9118
2014,9,QB,12,2,9.2400,4.9808,0.0000,14.0600,0.8333
2014,9,RB,28,5,4.3000,3.4262,0.9000,4.2667,0.8214
2014,9,TE,41,2,9.5000,2.6610,6.5333,6.5333,0.9512
2014,9,WR,51,6,6.1333,2.2598,0.0000,0.1500,0.8824
2014,10,QB,15,2,12.9200,5.3169,12.4000,11.2400,0.8667
2014,10,RB,33,5,4.5000,2.4995,7.0000,0.8333,0.8485
2014,10,TE,38,2,6.0000,1.9425,6.6667,5.4000,0.9474
2014,10,WR,50,6,6.7333,2.4563,6.7333,8.3000,0.8800
2014,11,QB,12,2,14.9000,9.2439,17.7933,11.9933,0.8333
2014,11,RB,33,5,5.5667,2.7551,3.7333,5.5667,0.8485
2014,11,TE,41,2,6.5333,2.4862,1.2000,4.0333,0.9512
2014,11,WR,53,6,8.8667,3.3101,2.2667,4.8000,0.8868
2014,12,QB,12,2,12.7000,10.0611,10.6067,10.6067,0.8333
2014,12,RB,35,5,6.0333,2.9905,6.0000,1.6000,0.8571
2014,12,TE,45,2,5.6333,2.0911,3.6667,2.9667,0.9556
2014,12,WR,62,6,9.3333,3.3849,5.1667,3.5667,0.9032
2014,13,QB,18,2,15.1267,8.1359,16.6000,12.5933,0.8889
2014,13,RB,52,5,6.6000,2.7455,1.7667,0.8000,0.9038
2014,13,TE,44,2,5.8333,2.2311,0.7667,1.1000,0.9545
2014,13,WR,79,6,7.3000,2.9779,2.7000,4.3000,0.9241
2014,14,QB,18,2,15.1400,7.3263,3.0867,11.2733,0.8889
2014,14,RB,44,5,7.3333,3.5326,4.7667,0.5333,0.8864
2014,14,TE,50,2,9.2667,2.8840,6.9667,0.0000,0.9600
2014,14,WR,74,6,7.3333,2.7505,4.2667,4.2667,0.9189
2014,15,QB,20,2,14.9500,7.7335,14.9500,14.9100,0.9000
2014,15,RB,49,5,8.5000,3.6480,9.2500,12.0000,0.8980
2014,15,TE,50,2,12.4500,3.6970,1.9500,16.4500,0.9600
2014,15,WR,77,6,7.2500,2.6557,5.5500,8.1000,0.9221
2014,16,QB,19,2,19.3400,8.7116,0.0000,12.1600,0.8947
2014,16,RB,44,5,10.0000,3.7705,3.5000,0.0000,0.8864
2014,16,TE,49,2,13.6000,3.6694,3.0000,7.1000,0.9592
2014,16,WR,70,6,8.3000,2.7260,5.2000,2.8000,0.9143
2015,2,QB,16,2,21.2067,12.8908,22.9800,14.0533,0.8750
2015,2,RB,49,5,9.5000,3.2395,1.2000,1.9333,0.8980
2015,2,TE,47,2,13.6667,3.6085,6.3667,9.8333,0.9574
2015,2,WR,75,6,8.7667,3.6076,2.1000,1.0000,0.9200
2015,3,QB,19,2,17.0733,8.5881,15.8533,18.5933,0.8947
2015,3,RB,51,5,11.1333,3.4542,11.1333,7.9500,0.9020
2015,3,TE,47,2,12.6500,3.5167,7.8667,12.6500,0.9574
2015,3,WR,73,6,8.8667,3.6816,7.6000,2.5000,0.9178
2015,4,QB,14,2,18.7000,10.5021,4.0800,18.7000,0.8571
2015,4,RB,44,5,6.8000,3.3011,9.6000,1.8000,0.8864
2015,4,TE,44,2,7.3667,2.2284,1.8000,0.0000,0.9545
2015,4,WR,63,6,8.1000,3.6974,1.3500,0.0000,0.9048
2015,5,QB,13,2,20.6067,9.7731,20.6067,20.8133,0.8462
2015,5,RB,39,5,6.1333,2.8111,6.1333,3.7333,0.8718
2015,5,TE,40,2,9.8000,2.5863,9.8000,1.5500,0.9500
2015,5,WR,55,6,7.3500,3.1639,0.5333,4.7667,0.8909
2015,6,QB,11,2,18.5700,13.1970,14.2067,14.2067,0.8182
2015,6,RB,38,5,4.3000,2.4456,4.3000,0.1000,0.8684
