scheme,season,week,arm,rank_within_arm,player,position,team,pts_prior_week,fwd3,fwd3_span,week_ceiling,pool_mean_pos,pool_n_pos,vs_pos,edge,train_seasons
walk_forward,2023,2,repo,1,Jerome Ford,RB,CLE,22.6000,12.5500,2,31.9333,4.3863,38,8.1637,3.3314,2022
walk_forward,2023,2,repo,2,Tee Higgins,WR,CIN,24.9000,2.0000,3,31.9333,3.2592,81,-1.2592,3.1036,2022
walk_forward,2023,2,repo,3,D'Andre Swift,RB,PHI,25.6000,14.6667,3,31.9333,4.3863,38,10.2804,2.9667,2022
walk_forward,2023,2,naive,1,Daniel Jones,QB,NYG,30.7400,6.6200,3,31.9333,13.6242,15,-7.0042,,2022
walk_forward,2023,2,naive,2,D'Andre Swift,RB,PHI,25.6000,14.6667,3,31.9333,4.3863,38,10.2804,,2022
walk_forward,2023,2,naive,3,Jalen Hurts,QB,PHI,25.2200,23.7867,3,31.9333,13.6242,15,10.1624,,2022
walk_forward,2023,3,repo,1,Alec Pierce,WR,IND,5.8000,3.2667,3,21.9333,2.7036,70,0.5631,8.2548,2022
walk_forward,2023,3,repo,2,Allen Lazard,WR,NYJ,5.4000,6.5667,3,21.9333,2.7036,70,3.8631,3.3161,2022
walk_forward,2023,3,repo,3,Joshua Dobbs,QB,ARI,17.0600,14.0800,3,21.9333,8.2082,20,5.8718,2.1806,2022
walk_forward,2023,3,naive,1,De'Von Achane,RB,MIA,49.3000,15.5000,3,21.9333,2.3292,37,13.1708,,2022
walk_forward,2023,3,naive,2,Lamar Jackson,QB,BAL,28.1800,18.4000,3,21.9333,8.2082,20,10.1918,,2022
walk_forward,2023,3,naive,3,Andy Dalton,QB,CAR,23.5400,0.0333,3,21.9333,8.2082,20,-8.1748,,2022
walk_forward,2023,4,repo,1,Joe Burrow,QB,CIN,4.7000,18.5900,2,18.6800,6.7724,22,11.8176,4.7431,2022
walk_forward,2023,4,repo,2,Ryan Tannehill,QB,TEN,12.7000,5.4000,2,18.6800,6.7724,22,-1.3724,4.7431,2022
walk_forward,2023,4,repo,3,Allen Lazard,WR,NYJ,13.6000,3.0500,2,18.6800,2.2018,83,0.8482,3.4211,2022
walk_forward,2023,4,naive,1,Anthony Richardson,QB,IND,29.6000,1.4733,3,18.6800,6.7724,22,-5.2991,,2022
walk_forward,2023,4,naive,2,Justin Fields,QB,CHI,27.9000,12.6333,3,18.6800,6.7724,22,5.8609,,2022
walk_forward,2023,4,naive,3,Sam Howell,QB,WAS,19.6000,17.7400,3,18.6800,6.7724,22,10.9676,,2022
walk_forward,2023,5,repo,1,Allen Robinson,WR,PIT,5.4000,0.6000,2,20.7100,2.3046,65,-1.7046,2.4604,2022
walk_forward,2023,5,repo,2,Dallas Goedert,TE,PHI,25.7000,11.8333,3,20.7100,2.5509,43,9.2824,2.1590,2022
walk_forward,2023,5,repo,3,Cooper Kupp,WR,LA,15.8000,11.4333,3,20.7100,2.3046,65,9.1287,1.9647,2022
walk_forward,2023,5,naive,1,Desmond Ridder,QB,ATL,26.1600,11.1067,3,20.7100,6.6614,17,4.4453,,2022
walk_forward,2023,5,naive,2,Dallas Goedert,TE,PHI,25.7000,11.8333,3,20.7100,2.5509,43,9.2824,,2022
walk_forward,2023,5,naive,3,Joe Burrow,QB,CIN,23.3800,20.7100,2,20.7100,6.6614,17,14.0486,,2022
walk_forward,2023,6,repo,1,D'Onta Foreman,RB,CHI,7.2000,14.6333,3,28.2100,2.3614,35,12.2719,9.1687,2022
walk_forward,2023,6,repo,2,Cooper Kupp,WR,LA,24.3000,5.2667,3,28.2100,2.8479,72,2.4187,7.4031,2022
walk_forward,2023,6,repo,3,Zach Wilson,QB,NYJ,10.9400,9.6600,2,28.2100,9.0433,16,0.6167,5.7228,2022
walk_forward,2023,6,naive,1,Dak Prescott,QB,DAL,24.8800,28.2100,2,28.2100,9.0433,16,19.1667,,2022
walk_forward,2023,6,naive,2,Cooper Kupp,WR,LA,24.3000,5.2667,3,28.2100,2.8479,72,2.4187,,2022
walk_forward,2023,6,naive,3,Derek Carr,QB,NO,16.3200,17.4933,3,28.2100,9.0433,16,8.4500,,2022
walk_forward,2023,7,repo,1,Darrynton Evans,RB,CHI,5.9000,5.0333,3,17.2667,1.9036,23,3.1297,3.2161,2022
walk_forward,2023,7,repo,2,Cade Otton,TE,TB,9.3000,12.2333,3,17.2667,2.7605,39,9.4728,3.1541,2022
walk_forward,2023,7,repo,3,Darrell Henderson,RB,LA,13.1000,7.2500,2,17.2667,1.9036,23,5.3464,2.8438,2022
walk_forward,2023,7,naive,1,Tyrod Taylor,QB,NYG,21.6600,1.2067,3,17.2667,5.6761,12,-4.4694,,2022
walk_forward,2023,7,naive,2,Mac Jones,QB,NE,19.9800,10.2133,3,17.2667,5.6761,12,4.5372,,2022
walk_forward,2023,7,naive,3,Derek Carr,QB,NO,17.4400,13.4800,3,17.2667,5.6761,12,7.8039,,2022
walk_forward,2023,8,repo,1,Alec Pierce,WR,IND,5.6000,1.3000,2,27.4600,3.0669,79,-1.7669,4.3333,2022
walk_forward,2023,8,repo,2,David Njoku,TE,CLE,17.7000,12.3333,3,27.4600,3.0780,47,9.2553,3.6878,2022
walk_forward,2023,8,repo,3,Zach Charbonnet,RB,SEA,7.4000,6.6333,3,27.4600,2.2462,40,4.3871,2.9197,2022
walk_forward,2023,8,naive,1,Dak Prescott,QB,DAL,28.0600,27.4600,3,27.4600,7.2441,21,20.2159,,2022
walk_forward,2023,8,naive,2,Joe Burrow,QB,CIN,27.6200,16.9800,3,27.4600,7.2441,21,9.7359,,2022
walk_forward,2023,8,naive,3,Will Levis,QB,TEN,26.6200,9.0533,3,27.4600,7.2441,21,1.8092,,2022
walk_forward,2023,9,repo,1,Will Levis,QB,TEN,8.6800,8.5267,3,15.4400,4.8106,12,3.7161,3.3726,2022
walk_forward,2023,9,repo,2,Brandon Powell,WR,MIN,8.5000,5.4667,3,15.4400,2.2164,70,3.2502,3.0797,2022
walk_forward,2023,9,repo,3,Diontae Johnson,WR,PIT,18.5000,3.9333,3,15.4400,2.2164,70,1.7169,2.7138,2022
walk_forward,2023,9,naive,1,Noah Brown,WR,HOU,24.3000,6.9000,3,15.4400,2.2164,70,4.6836,,2022
walk_forward,2023,9,naive,2,Keaton Mitchell,RB,BAL,19.9000,9.2000,3,15.4400,1.7644,30,7.4356,,2022
walk_forward,2023,9,naive,3,Deshaun Watson,QB,CLE,18.9600,5.4067,3,15.4400,4.8106,12,0.5961,,2022
walk_forward,2023,10,repo,1,Jonathan Mingo,WR,CAR,3.5000,6.3333,3,17.9667,1.9181,58,4.4152,1.8795,2022
walk_forward,2023,10,repo,2,Deshaun Watson,QB,CLE,16.2200,0.0000,3,17.9667,4.3493,18,-4.3493,1.7703,2022
walk_forward,2023,10,repo,3,Tyler Conklin,TE,NYJ,14.0000,5.8667,3,17.9667,2.6807,44,3.1860,1.6333,2022
walk_forward,2023,10,naive,1,Kyler Murray,QB,ARI,17.2600,17.9667,3,17.9667,4.3493,18,13.6174,,2022
walk_forward,2023,10,naive,2,Deshaun Watson,QB,CLE,16.2200,0.0000,3,17.9667,4.3493,18,-4.3493,,2022
walk_forward,2023,10,naive,3,Tyler Conklin,TE,NYJ,14.0000,5.8667,3,17.9667,2.6807,44,3.1860,,2022
walk_forward,2023,11,repo,1,Royce Freeman,RB,LA,7.3000,4.8667,3,23.3267,1.3346,27,3.5321,9.4445,2022
walk_forward,2023,11,repo,2,Bryce Young,QB,CAR,5.2200,7.5533,3,23.3267,9.0500,16,-1.4967,2.5722,2022
walk_forward,2023,11,repo,3,Jonathan Mingo,WR,CAR,1.1000,7.0333,3,23.3267,2.3944,63,4.6389,2.0000,2022
walk_forward,2023,11,naive,1,Tommy DeVito,QB,NYG,22.5400,13.8300,2,23.3267,9.0500,16,4.7800,,2022
walk_forward,2023,11,naive,2,Kyler Murray,QB,ARI,21.6600,16.1200,2,23.3267,9.0500,16,7.0700,,2022
walk_forward,2023,11,naive,3,Justin Fields,QB,CHI,21.1600,17.6500,2,23.3267,9.0500,16,8.6000,,2022
walk_forward,2023,12,repo,1,Pat Freiermuth,TE,PIT,21.0000,5.7667,3,22.9400,3.7177,47,2.0489,4.2898,2022
walk_forward,2023,12,repo,2,Alec Pierce,WR,IND,4.7000,7.5000,3,22.9400,2.3248,86,5.1752,3.0847,2022
walk_forward,2023,12,repo,3,Will Levis,QB,TEN,7.1000,14.1667,3,22.9400,8.3815,18,5.7852,2.6585,2022
walk_forward,2023,12,naive,1,Matthew Stafford,QB,LA,23.3600,21.7133,3,22.9400,8.3815,18,13.3319,,2022
walk_forward,2023,12,naive,2,Pat Freiermuth,TE,PIT,21.0000,5.7667,3,22.9400,3.7177,47,2.0489,,2022
