scheme,season,week,arm,n,mean_fwd3,mean_vs_pos,week_ceiling,min_span
walk_forward,2023,2,naive,3,15.0244,4.4795,31.9333,3
walk_forward,2023,2,repo,3,9.7389,5.7283,31.9333,2
walk_forward,2023,3,naive,3,11.3111,5.0626,21.9333,3
walk_forward,2023,3,repo,3,7.9711,3.4327,21.9333,3
walk_forward,2023,4,naive,3,10.6156,3.8431,18.6800,3
walk_forward,2023,4,repo,3,9.0133,3.7644,18.6800,2
walk_forward,2023,5,naive,3,14.5500,9.2588,20.7100,2
walk_forward,2023,5,repo,3,7.9556,5.5688,20.7100,2
walk_forward,2023,6,naive,3,16.9900,10.0118,28.2100,2
walk_forward,2023,6,repo,3,9.8533,5.1024,28.2100,2
walk_forward,2023,7,naive,3,8.3000,2.6239,17.2667,3
walk_forward,2023,7,repo,3,8.1722,5.9830,17.2667,2
walk_forward,2023,8,naive,3,17.8311,10.5870,27.4600,3
walk_forward,2023,8,repo,3,6.7556,3.9585,27.4600,2
walk_forward,2023,9,naive,3,7.1689,4.2384,15.4400,3
walk_forward,2023,9,repo,3,5.9756,2.8944,15.4400,3
walk_forward,2023,10,naive,3,7.9444,4.1514,17.9667,3
walk_forward,2023,10,repo,3,4.0667,1.0840,17.9667,3
walk_forward,2023,11,naive,3,15.8667,6.8167,23.3267,2
walk_forward,2023,11,repo,3,6.4844,2.2248,23.3267,3
walk_forward,2023,12,naive,3,13.3500,6.5231,22.9400,2
walk_forward,2023,12,repo,3,9.1444,4.3364,22.9400,3
walk_forward,2023,13,naive,3,13.2978,7.1309,20.6733,3
walk_forward,2023,13,repo,3,8.7567,4.3155,20.6733,2
walk_forward,2023,14,naive,3,10.8778,3.0072,21.4467,3
walk_forward,2023,14,repo,3,1.7778,-0.4181,21.4467,3
walk_forward,2023,15,naive,3,8.9889,4.9135,20.6200,3
walk_forward,2023,15,repo,3,8.4289,4.1780,20.6200,3
walk_forward,2023,16,naive,3,13.9267,4.8204,20.7300,2
walk_forward,2023,16,repo,3,6.5000,4.0153,20.7300,2
walk_forward,2023,17,naive,3,8.2600,1.9478,20.8000,1
walk_forward,2023,17,repo,3,10.1667,7.8123,20.8000,1
walk_forward,2024,2,naive,3,6.7222,3.4821,25.1400,3
walk_forward,2024,2,repo,3,12.8889,9.7615,25.1400,3
walk_forward,2024,3,naive,3,8.1644,1.9099,25.8900,3
walk_forward,2024,3,repo,3,8.3278,4.8805,25.8900,2
walk_forward,2024,4,naive,3,15.6589,7.3417,26.1000,2
walk_forward,2024,4,repo,3,13.9811,8.0831,26.1000,2
walk_forward,2024,5,naive,3,13.3167,5.4233,21.5200,2
walk_forward,2024,5,repo,3,15.0556,11.4745,21.5200,2
walk_forward,2024,6,naive,3,9.5400,5.6809,19.4333,3
walk_forward,2024,6,repo,3,6.9678,2.6683,19.4333,2
walk_forward,2024,7,naive,3,12.0533,7.7313,21.1000,2
walk_forward,2024,7,repo,3,3.1111,-0.7791,21.1000,3
walk_forward,2024,8,naive,3,17.0122,9.9165,21.5067,2
walk_forward,2024,8,repo,3,6.0000,3.5608,21.5067,2
walk_forward,2024,9,naive,3,15.6889,4.4100,24.2600,2
walk_forward,2024,9,repo,3,10.7289,5.1055,24.2600,2
walk_forward,2024,10,naive,3,15.2522,6.9912,25.7333,2
walk_forward,2024,10,repo,3,7.3011,2.1474,25.7333,2
walk_forward,2024,11,naive,3,13.4889,3.6916,25.7400,2
walk_forward,2024,11,repo,3,13.4611,3.9450,25.7400,2
walk_forward,2024,12,naive,3,10.6089,6.4090,17.5267,3
walk_forward,2024,12,repo,3,13.2333,7.2843,17.5267,3
walk_forward,2024,13,naive,3,10.5133,1.8237,17.4600,3
walk_forward,2024,13,repo,3,3.5378,-3.0574,17.4600,3
walk_forward,2024,14,naive,3,11.6889,8.3430,18.6667,3
walk_forward,2024,14,repo,3,10.5133,7.3621,18.6667,3
walk_forward,2024,15,naive,3,7.7800,4.2251,26.8267,3
walk_forward,2024,15,repo,3,7.7378,3.6318,26.8267,3
walk_forward,2024,16,naive,3,13.1267,6.1276,26.6800,2
walk_forward,2024,16,repo,3,7.4667,4.5641,26.6800,2
