scheme,season,week,arm,n,mean_fwd3,mean_vs_pos,week_ceiling,min_span
expanding,2014,2,naive,3,17.3156,7.0495,23.4900,3
expanding,2014,2,repo,3,6.4778,-0.4258,23.4900,2
expanding,2014,3,naive,3,7.1844,1.5527,21.0000,2
expanding,2014,3,repo,3,8.9222,3.2954,21.0000,3
expanding,2014,4,naive,3,8.8800,2.2209,24.7200,3
expanding,2014,4,repo,3,12.5556,6.2136,24.7200,3
expanding,2014,5,naive,3,11.6800,4.3129,29.1133,3
expanding,2014,5,repo,3,7.3522,1.9574,29.1133,2
expanding,2014,6,naive,3,16.8111,4.6847,28.1067,3
expanding,2014,6,repo,3,7.3278,4.4931,28.1067,2
expanding,2014,7,naive,3,12.6600,7.5552,21.1000,3
expanding,2014,7,repo,3,12.5944,9.5146,21.1000,2
expanding,2014,8,naive,3,11.5522,6.6289,23.7000,2
expanding,2014,8,repo,3,3.1500,0.1814,23.7000,2
expanding,2014,9,naive,3,10.4489,7.1484,22.4333,3
expanding,2014,9,repo,3,8.1444,5.1070,22.4333,3
expanding,2014,10,naive,3,17.2511,12.8734,22.8333,3
expanding,2014,10,repo,3,3.4222,-0.0020,22.8333,3
expanding,2014,11,naive,3,7.0222,-0.0587,17.7933,3
expanding,2014,11,repo,3,9.8533,2.7724,17.7933,3
expanding,2014,12,naive,3,8.7267,1.0224,16.4600,3
expanding,2014,12,repo,3,7.7444,4.4910,16.4600,3
expanding,2014,13,naive,3,3.4467,-2.9699,17.4400,3
expanding,2014,13,repo,3,4.8733,1.9729,17.4400,3
expanding,2014,14,naive,3,10.1044,4.3034,16.7267,3
expanding,2014,14,repo,3,4.8444,2.0940,16.7267,3
expanding,2014,15,naive,3,3.4500,-0.8983,20.5200,2
expanding,2014,15,repo,3,3.6800,0.6935,20.5200,2
expanding,2014,16,naive,3,8.3133,2.9632,26.1200,1
expanding,2014,16,repo,3,10.8333,7.0629,26.1200,1
