overall_rank,pos_rank,player_display_name,position,team,season,week,score,score_lo,score_hi,proj_pts,proj_pts_lo,proj_pts_hi,snap,snap_jump,targets,tgt_share,eb_tgt_share,carries,carry_share,eb_car_share,receptions,air_yards_share,wopr_opp,kal_role,cusum,pts,pts_lag1,cum_before,rank_before,conformal_half_width,model_coverage
1,1,Jonnu Smith,TE,PIT,2025,18,0.9171,0.6315,1.0000,9.1667,3.1333,16.4627,0.4400,0.0450,2,0.0588,0.1240,1,0.0625,0.0316,1,0.0923,6.0000,0.4209,0.0000,1.4000,7.7000,83.8000,21.0000,0.2856,0.8300
2,2,Michael Mayer,TE,LV,2025,18,0.9063,0.6207,1.0000,8.7500,3.0333,16.4627,0.9500,0.1500,5,0.2000,0.1360,0,0.0000,0.0001,3,0.1726,12.5000,0.8312,1.3120,7.7000,17.9000,66.1000,25.0000,0.2856,0.8300
3,1,Kirk Cousins,QB,ATL,2025,18,0.8999,0.5859,1.0000,18.8989,10.3186,25.7985,1.0000,0.0000,0,0.0000,0.0001,3,0.1200,0.0568,0,0.0000,3.0000,0.9964,1.4714,9.2000,9.1400,94.3400,22.0000,0.3140,0.7937
4,2,Quinn Ewers,QB,MIA,2025,18,0.8859,0.5719,1.0000,18.4218,9.9185,25.7985,0.9500,-0.0500,0,0.0000,0.0060,1,0.0625,0.0947,0,0.0000,1.0000,0.9004,0.0000,8.3800,15.2800,24.3000,25.0000,0.3140,0.7937
5,3,Tyler Shough,QB,NO,2025,18,0.8757,0.5617,1.0000,18.0125,9.6600,25.7985,1.0000,0.0250,0,0.0000,0.0001,3,0.6000,0.1903,0,0.0000,3.0000,0.9880,1.8469,21.7600,21.9200,136.2000,19.0000,0.3140,0.7937
6,4,Shedeur Sanders,QB,CLE,2025,18,0.8738,0.5598,1.0000,17.9677,9.6306,25.7985,1.0000,0.0100,0,0.0000,0.0002,3,0.1250,0.1094,0,0.0000,3.0000,0.9923,0.6196,5.0400,9.4400,79.8600,23.0000,0.3140,0.7937
7,5,Brady Cook,QB,NYJ,2025,18,0.8674,0.5534,1.0000,17.7285,9.5064,25.7985,1.0000,0.0000,0,0.0000,0.0002,3,0.1304,0.1127,0,0.0000,3.0000,0.9953,0.0774,9.1000,4.1800,19.3600,26.0000,0.3140,0.7937
8,3,Greg Dulcich,TE,MIA,2025,18,0.8625,0.5769,1.0000,7.0000,2.6000,16.4627,0.5200,0.1950,4,0.2500,0.1577,0,0.0000,0.0045,3,0.0938,10.0000,0.4407,0.3539,6.1000,16.1000,56.7000,28.0000,0.2856,0.8300
9,6,Joe Burrow,QB,CIN,2025,18,0.8541,0.5401,1.0000,17.2113,9.0931,25.7985,0.9900,0.1250,0,0.0000,0.0001,2,0.0800,0.0716,0,0.0000,2.0000,0.9338,0.0014,21.1400,20.4000,113.3200,21.0000,0.3140,0.7937
10,7,Brandon Allen,QB,TEN,2025,18,0.8409,0.5269,1.0000,16.9590,8.6685,25.7985,0.9100,,0,0.0000,0.0004,0,0.0000,0.0542,0,0.0000,0.0000,0.9100,0.0000,0.8800,,0.0000,37.0000,0.3140,0.7937
11,8,Aidan O'Connell,QB,LV,2025,18,0.8255,0.5115,1.0000,16.4436,8.1800,25.7985,0.8200,,0,0.0000,0.0004,1,0.0323,0.0623,0,0.0000,1.0000,0.8200,0.0000,4.7800,,0.0000,37.0000,0.3140,0.7937
12,1,Jaydon Blue,RB,DAL,2025,18,0.8139,0.5111,1.0000,4.5587,1.0333,16.8043,0.6000,0.3950,0,0.0000,0.0135,16,0.6154,0.2796,0,0.0000,16.0000,0.3920,7.1818,12.4000,2.9000,7.5000,65.0000,0.3029,0.8092
13,1,Isaiah Williams,WR,NYJ,2025,18,0.7823,0.4931,1.0000,4.5062,1.2500,14.8060,0.5200,-0.2100,7,0.4375,0.1025,0,0.0000,0.0076,5,0.3973,17.5000,0.5964,0.8045,4.9000,5.5000,42.8000,69.0000,0.2891,0.7978
14,4,Davis Allen,TE,LA,2025,18,0.7753,0.4898,1.0000,5.1500,1.8572,16.4627,0.7100,0.0100,1,0.0270,0.0648,0,0.0000,0.0000,0,0.0529,2.5000,0.6834,1.6076,0.0000,5.4000,62.8000,26.0000,0.2856,0.8300
15,5,Daniel Bellinger,TE,NYG,2025,18,0.7708,0.4852,1.0000,5.0667,1.8101,16.4627,0.9200,0.3050,2,0.0625,0.0651,0,0.0000,0.0001,2,0.0217,5.0000,0.8072,3.7985,11.8000,3.1000,47.8000,35.0000,0.2856,0.8300
16,6,Tommy Tremble,TE,CAR,2025,18,0.7689,0.4834,1.0000,5.0500,1.8000,16.4627,0.9000,0.3000,4,0.1379,0.0893,0,0.0000,0.0000,3,0.0909,10.0000,0.7621,3.0884,12.8000,1.6000,51.1000,32.0000,0.2856,0.8300
17,7,Tyler Higbee,TE,LA,2025,18,0.7566,0.4710,1.0000,4.8000,1.7000,16.4627,0.6400,0.1750,6,0.1622,0.1115,0,0.0000,0.0001,5,0.2284,15.0000,0.5485,0.2988,20.1000,3.3000,51.0000,33.0000,0.2856,0.8300
18,8,Cole Kmet,TE,CHI,2025,18,0.7455,0.4599,1.0000,4.6333,1.6000,16.4627,0.8900,0.2000,3,0.1200,0.1092,0,0.0000,0.0000,2,-0.0154,7.5000,0.7837,0.4318,5.6000,3.6000,73.1000,23.0000,0.2856,0.8300
19,9,Drake Dabney,TE,GB,2025,18,0.7415,0.4560,1.0000,4.5999,1.5667,16.4627,0.8800,,2,0.2000,0.1363,0,0.0000,0.0005,1,0.3704,5.0000,0.8800,0.0000,1.3000,,0.0000,70.0000,0.2856,0.8300
20,10,Cade Stover,TE,HOU,2025,18,0.7326,0.4470,1.0000,4.4667,1.5000,16.4627,0.4900,-0.0700,2,0.0714,0.0920,0,0.0000,0.0217,1,0.0104,5.0000,0.5016,0.1739,1.9000,2.7000,18.0000,46.0000,0.2856,0.8300
21,2,Jakobie Keeney-James,WR,GB,2025,18,0.7271,0.4380,1.0000,3.6127,0.9333,14.8060,0.9400,,2,0.2000,0.1644,0,0.0000,0.0033,2,0.5556,5.0000,0.9400,0.0000,2.5000,,0.0000,116.0000,0.2891,0.7978
22,2,Ray Davis,RB,BUF,2025,18,0.7267,0.4238,1.0000,3.0864,0.6000,16.8043,0.6400,0.4950,2,0.0952,0.0298,21,0.4884,0.1070,2,-0.0302,26.0000,0.3840,7.0578,24.4000,2.1000,34.7000,48.0000,0.3029,0.8092
23,3,Marquez Valdes-Scantling,WR,PIT,2025,18,0.7260,0.4369,1.0000,3.6000,0.9000,14.8060,0.8400,0.2200,7,0.2059,0.1000,0,0.0000,0.0011,5,0.2369,17.5000,0.7351,3.3308,5.9000,3.6000,19.1000,87.0000,0.2891,0.7978
24,11,Evan Engram,TE,DEN,2025,18,0.7045,0.4189,0.9901,4.1000,1.3667,16.4627,0.3900,0.0150,4,0.2000,0.1488,0,0.0000,0.0024,3,1.1538,10.0000,0.3714,0.0000,7.5000,6.1000,95.3000,19.0000,0.2856,0.8300
25,12,Josh Whyle,TE,GB,2025,18,0.6948,0.4093,0.9804,3.9667,1.3000,14.5493,0.7300,0.2000,1,0.1000,0.0510,0,0.0000,0.0001,1,-0.0370,2.5000,0.6343,4.8177,1.4000,1.8000,13.2000,50.0000,0.2856,0.8300
26,13,Drew Sample,TE,CIN,2025,18,0.6934,0.4079,0.9790,3.9667,1.2667,14.4025,0.7200,0.0650,3,0.0789,0.0482,0,0.0000,0.0035,3,-0.0155,7.5000,0.6727,2.0546,4.7000,1.8000,27.2000,40.0000,0.2856,0.8300
27,3,Tank Bigsby,RB,PHI,2025,18,0.6894,0.3865,0.9923,2.6000,0.4500,16.8043,0.5900,0.4900,1,0.0294,0.0125,16,0.8421,0.1517,1,0.0026,18.5000,0.3615,3.7249,17.1000,1.4000,35.2000,47.0000,0.3029,0.8092
28,4,Treylon Burks,WR,WAS,2025,18,0.6861,0.3970,0.9752,3.0333,0.7000,11.9000,0.6800,-0.1900,4,0.3077,0.1564,0,0.0000,0.0011,2,0.3577,10.0000,0.7289,0.0000,2.2000,1.6000,21.8000,83.0000,0.2891,0.7978
29,9,Mitchell Trubisky,QB,BUF,2025,18,0.6841,0.3701,0.9981,13.0301,2.7560,25.7985,0.9900,0.8850,0,0.0000,0.0002,5,0.1163,0.0689,0,0.0000,5.0000,0.5474,12.6665,28.8600,0.4000,2.2600,33.0000,0.3140,0.7937
30,5,Jalen McMillan,WR,TB,2025,18,0.6802,0.3911,0.9693,2.9667,0.6667,11.2589,0.5500,0.0250,1,0.0476,0.1445,0,0.0000,0.0084,1,0.0493,2.5000,0.5309,0.4333,1.6000,14.9000,22.3000,81.0000,0.2891,0.7978
31,4,Chris Brooks,RB,GB,2025,18,0.6743,0.3714,0.9772,2.4000,0.4000,13.2288,0.4500,0.1200,0,0.0000,0.0382,13,0.3714,0.0563,0,0.0000,13.0000,0.3934,4.5303,6.1000,1.6000,20.1000,55.0000,0.3029,0.8092
32,6,Christian Kirk,WR,HOU,2025,18,0.6731,0.3840,0.9622,2.9000,0.6500,10.5502,0.5700,0.0350,2,0.0714,0.1437,0,0.0000,0.0006,1,-0.0155,5.0000,0.5232,0.0925,0.2000,1.1000,43.7000,64.0000,0.2891,0.7978
33,7,Cedric Tillman,WR,CLE,2025,18,0.6616,0.3725,0.9507,2.7667,0.6000,9.7000,0.7700,0.2450,2,0.0952,0.1345,0,0.0000,0.0007,1,0.1327,5.0000,0.6677,0.0916,2.8000,4.7000,46.7000,63.0000,0.2891,0.7978
34,5,Khalil Herbert,RB,NYJ,2025,18,0.6605,0.3576,0.9634,2.2667,0.3333,11.3000,0.6700,0.5300,2,0.1250,0.0343,12,0.5217,0.1371,1,-0.0822,17.0000,0.3980,5.5609,5.1000,0.5000,1.0000,81.0000,0.3029,0.8092
35,6,Raheim Sanders,RB,CLE,2025,18,0.6561,0.3532,0.9590,2.2333,0.3000,10.7705,0.2700,-0.0900,1,0.0476,0.0459,5,0.2083,0.2653,1,-0.0102,7.5000,0.2914,0.0000,3.8000,3.6000,15.0000,59.0000,0.3029,0.8092
36,7,Ty Chandler,RB,MIN,2025,18,0.6480,0.3452,0.9509,2.1500,0.3000,9.9189,0.4300,0.3100,4,0.1379,0.0643,10,0.3333,0.2053,3,-0.1010,20.0000,0.2938,0.0000,4.9000,2.4000,2.4000,77.0000,0.3029,0.8092
37,8,Josh Palmer,WR,BUF,2025,18,0.6403,0.3512,0.9294,2.5333,0.4667,8.4998,0.8400,0.2400,3,0.1429,0.1135,0,0.0000,0.0005,1,0.0251,7.5000,0.6809,2.9249,0.6000,1.7000,40.7000,70.0000,0.2891,0.7978
38,14,Elijah Higgins,TE,ARI,2025,18,0.6400,0.3544,0.9256,3.2333,0.9333,9.5000,0.6000,-0.0150,3,0.1071,0.0641,0,0.0000,0.0001,3,0.0717,7.5000,0.6053,1.3295,5.8000,0.0000,52.3000,30.0000,0.2856,0.8300
39,9,Isaiah Bond,WR,CLE,2025,18,0.6366,0.3475,0.9257,2.4667,0.4500,8.3181,0.5400,0.1850,2,0.0952,0.1175,1,0.0417,0.0137,1,0.2449,6.0000,0.4559,0.0000,2.2000,2.1000,43.5000,66.0000,0.2891,0.7978
